Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1976	02	17	4.88697408	-9999	6.59342	3.56729	93.6132	-9999	5.92663	-9999	-9999	-9999	-9999
1976	02	18	4.15828512	-9999	10.7366	3.41705	83.3192	-9999	0.190098	-9999	-9999	-9999	-9999
1976	02	19	10.9377216	-9999	16.5357	9.19888	54.1357	-9999	0	-9999	-9999	-9999	-9999
1976	02	20	10.1141568	-9999	17.3673	8.36426	48.6456	-9999	0	-9999	-9999	-9999	-9999
1976	02	21	10.8961632	-9999	15.6098	6.88757	47.4697	-9999	0	-9999	-9999	-9999	-9999
1976	02	22	11.574144	-9999	21.1306	10.4256	15.7038	-9999	0	-9999	-9999	-9999	-9999
1976	02	23	10.3806144	-9999	20.3991	3.76944	47.4539	-9999	4.44514	-9999	-9999	-9999	-9999
1976	02	24	7.84492992	-9999	5.4249	2.39773	93.1137	-9999	23.9203	-9999	-9999	-9999	-9999
1976	02	25	5.80752288	-9999	8.3903	3.79846	94.6807	-9999	20.0125	-9999	-9999	-9999	-9999
1976	02	26	9.7361568	-9999	7.28471	2.78613	92.1236	-9999	1.74527	-9999	-9999	-9999	-9999
1976	02	27	1.84097664	-9999	7.91743	2.12701	91.5534	-9999	22.0434	-9999	-9999	-9999	-9999
1976	02	28	11.98584	-9999	8.35398	2.37009	80.9769	-9999	0.0224966	-9999	-9999	-9999	-9999
1976	02	29	10.8850176	-9999	8.10966	5.13714	74.271	-9999	0.00669852	-9999	-9999	-9999	-9999
1976	03	01	12.247632	-9999	14.6467	5.85896	79.7102	-9999	0.190365	-9999	-9999	-9999	-9999
1976	03	02	5.0624784	-9999	5.97761	4.29497	92.3592	-9999	0.284223	-9999	-9999	-9999	-9999
1976	03	03	11.7788256	-9999	7.36662	3.80644	82.5563	-9999	0.39563	-9999	-9999	-9999	-9999
1976	03	04	3.75694848	-9999	8.61912	0.951093	90.5086	-9999	12.8348	-9999	-9999	-9999	-9999
1976	03	05	12.9269952	-9999	1.03764	-2.77193	81.9632	-9999	2.44516	-9999	-9999	-9999	-9999
1976	03	06	9.2555136	-9999	6.96129	-0.756487	78.6121	-9999	0.111284	-9999	-9999	-9999	-9999
1976	03	07	4.29387264	-9999	8.59019	4.26573	92.1155	-9999	4.90338	-9999	-9999	-9999	-9999
1976	03	08	13.2408864	-9999	11.9043	4.21641	64.6988	-9999	6.87051e-07	-9999	-9999	-9999	-9999
1976	03	09	12.3227136	-9999	11.327	4.73503	83.6216	-9999	0.116315	-9999	-9999	-9999	-9999
1976	03	10	8.17036416	-9999	6.51072	3.94194	87.859	-9999	3.62602	-9999	-9999	-9999	-9999
1976	03	11	11.3047488	-9999	9.6876	3.26198	80.9287	-9999	0.0274828	-9999	-9999	-9999	-9999
1976	03	12	6.06248928	-9999	5.73536	-1.94564	87.6305	-9999	11.3908	-9999	-9999	-9999	-9999
